game,score,train_time,len_buff
398,630,11.611,200000
399,399,6.7357,200000
400,651,10.3562,200000
401,630,7.8635,200000
402,399,6.3667,200000
403,378,7.2003,200000
404,357,4.5133,200000
405,357,5.0716,200000
406,483,7.0834,200000
407,420,4.6343,200000
408,441,6.5534,200000
409,294,3.4738,200000
410,546,6.8291,200000
411,651,8.1627,200000
412,630,10.0135,200000
413,357,6.5956,200000
414,546,6.3132,200000
415,672,9.174,200000
416,399,7.5135,200000
417,651,8.8014,200000
418,315,3.9196,200000
419,651,8.4236,200000
420,399,4.5734,200000
421,525,6.8466,200000
422,546,9.4888,200000
423,357,5.4693,200000
424,336,4.4204,200000
425,252,4.4698,200000
426,399,6.1681,200000
427,546,8.0352,200000
428,273,5.6841,200000
429,399,7.1378,200000
430,651,7.0281,200000
431,672,9.1088,200000
432,630,7.5351,200000
433,399,7.2439,200000
434,441,6.3628,200000
435,651,11.4233,200000
436,420,6.1458,200000
437,651,10.2831,200000
438,630,8.5904,200000
439,420,6.4061,200000
440,420,5.9913,200000
441,357,7.2806,200000
442,672,8.4259,200000
443,567,6.3806,200000
444,672,8.1174,200000
445,525,7.8009,200000
446,357,6.1791,200000
447,483,8.9728,200000
448,567,7.4209,200000
449,651,9.9609,200000
450,630,8.4267,200000
451,651,10.8361,200000
452,378,5.4779,200000
453,651,9.4215,200000
454,630,9.6861,200000
455,357,6.5576,200000
456,483,9.2545,200000
457,357,5.0695,200000
458,567,7.2268,200000
459,651,8.1263,200000
460,441,5.6823,200000
461,420,8.2093,200000
462,651,11.8352,200000
463,672,9.6455,200000
464,609,8.9259,200000
465,672,9.4541,200000
466,567,8.072,200000
467,651,7.6529,200000
468,294,5.0524,200000
469,672,7.9862,200000
470,399,6.2379,200000
471,588,8.3324,200000
472,399,7.151,200000
473,147,2.5343,200000
474,651,8.2442,200000
475,420,5.5414,200000
476,441,7.7141,200000
477,630,9.4812,200000
478,357,5.2797,200000
479,273,5.8091,200000
480,420,6.3609,200000
481,525,8.6248,200000
482,378,4.9973,200000
483,651,10.2906,200000
484,546,9.9258,200000
485,567,8.7118,200000
486,504,8.5333,200000
487,273,4.565,200000
488,630,11.3675,200000
489,399,4.2436,200000
490,462,6.9128,200000
491,546,9.4776,200000
492,357,7.7885,200000
493,588,9.1351,200000
494,420,4.7119,200000
495,651,9.8387,200000
496,504,8.8473,200000
497,651,7.6722,200000
498,630,9.5943,200000
499,420,6.9919,200000
500,525,8.3226,200000
501,630,8.433,200000
502,147,4.0611,200000
503,567,10.2075,200000
504,483,7.0002,200000
505,630,8.8173,200000
506,189,3.7029,200000
507,630,8.9964,200000
508,189,2.4585,200000
509,504,7.7069,200000
510,378,5.0766,200000
511,609,8.8081,200000
512,609,10.7131,200000
513,546,6.4576,200000
514,672,7.4771,200000
515,546,6.989,200000
516,420,6.2071,200000
517,735,9.1465,200000
518,252,4.1013,200000
519,546,7.245,200000
520,630,7.5969,200000
521,630,9.8426,200000
522,630,10.0903,200000
523,483,7.8933,200000
524,630,3.3578,20274
525,651,4.7676,24266
526,336,14.3351,1755
527,651,5.2626,3875
528,630,5.549,6170
529,399,4.2995,7947
530,651,7.0508,10792
531,567,10.554,12798
532,399,8.3356,15569
533,378,6.005,17422
534,588,7.5976,19893
535,693,9.4807,22842
536,609,9.7275,25991
537,357,5.0863,27532
538,336,3.9322,28731
539,693,11.2038,32386
540,441,7.0578,34600
541,630,9.8429,37670
542,630,9.9317,40571
543,462,4.2863,41877
544,693,8.6031,44527
545,567,9.4192,47640
546,588,10.6666,51106
547,567,7.438,53444
548,672,11.2401,57025
549,315,3.9149,58226
550,546,6.4391,60246
551,315,3.7731,61398
552,420,7.3528,63513
553,630,8.6901,66331
554,672,9.2157,69182
555,168,3.3029,70187
556,252,6.5926,71864
557,672,8.3599,74413
558,210,3.5545,75434
559,399,7.422,77516
560,441,7.617,79754
561,378,5.468,81476
562,651,11.2212,85093
563,651,6.8786,87312
564,651,8.6538,90101
565,672,9.5295,93157
566,630,8.2729,95823
567,483,8.6739,98577
568,210,2.6411,99344
569,399,5.3655,100963
570,714,9.1967,103855
571,609,10.71,107209
572,651,9.1682,110129
573,630,9.8223,113286
574,315,7.6385,115150
575,651,11.2212,85093
576,399,8.3356,15569
577,357,6.0705,1665
578,189,3.0591,2557
579,315,5.0022,4185
580,630,8.0927,6841
581,630,12.3903,10955
582,231,3.3193,11986
583,315,4.208,13347
584,609,6.5704,15537
585,672,7.4804,17991
586,714,10.3612,21442
587,630,12.1317,25578
588,630,8.2862,28280
589,336,4.5412,29747
590,651,7.5851,32268
591,378,6.3862,34403
592,294,5.037,35975
593,462,5.4995,37750
594,525,6.3772,39884
595,609,8.2806,42632
596,378,6.988,44797
597,609,8.3892,47650
598,672,7.8415,50347
599,546,8.3402,53157
600,462,7.2049,55513
601,609,8.2468,58326
602,588,7.3649,60757
603,651,8.9233,63663
604,693,9.2752,66768
605,399,4.5583,68249
606,399,6.0613,70175
607,651,10.2115,73629
608,399,5.3627,75376
609,525,6.923,77651
610,420,5.8783,79488
611,630,6.274,81572
612,651,8.4845,84443
613,630,8.5746,87320
614,588,8.3317,90042
615,630,9.7301,93280
616,651,8.2941,96001
617,294,7.419,98351
618,609,9.4832,101503
619,651,9.6459,104722
620,462,6.4452,106722
621,630,9.2359,109880
622,546,8.1418,112656
623,399,5.9772,114616
624,588,12.1719,118663
625,525,7.2121,121101
626,420,5.7968,123023
627,693,10.4253,126479
628,399,5.9162,128412
629,462,5.8104,130323
630,630,6.7179,132520
631,651,9.4716,135740
632,651,7.1406,138115
633,462,7.1899,140550
634,609,10.0832,143913
635,651,7.9992,146607
636,630,10.6464,150178
637,630,7.5924,152602
638,483,5.8626,154562
639,483,5.8948,156517
640,504,7.364,158979
641,273,5.4433,160682
